" ";22,258
"e";8,495
"t";5,588
"a";5,418
"s";5,166
"i";5,103
"n";4,511
"r";4,364
"o";4,024
"l";3,362
"u";3,204
"c";2,395
"d";2,286
"";2,182
"
";2,182
"p";1,881
"m";1,841
".";1,385
",";1,169
"h";1,1
"g";1,047
"b";1,033
"v";0,902
"f";0,751
"y";0,597
"é";0,521
"=";0,518
")";0,48
"(";0,48
"q";0,439
";";0,42
"'";0,405
"x";0,397
""";0,365
"{";0,328
"}";0,328
"-";0,311
">";0,309
"k";0,292
":";0,247
"_";0,225
"<";0,199
"/";0,159
"à";0,14
"j";0,131
"w";0,125
"è";0,109
"!";0,079
"z";0,074
"?";0,073
"ê";0,069
"&";0,055
"[";0,051
"]";0,051
"0";0,049
"\";0,042
"ç";0,037
"|";0,029
"â";0,029
"1";0,023
"*";0,02
"$";0,016
"û";0,016
"+";0,014
"`";0,014
"ù";0,014
"ô";0,013
"î";0,012
"2";0,011
